Año;Establecimiento;Nivel;Grado;Matriculados;Desertores
2023;INSTITUCION EDUCATIVA ANTONIO LENIS;02 PRIMARIA;03 TERCERO;103;5
2023;INSTITUCION EDUCATIVA ANTONIO LENIS;02 PRIMARIA;04 CUARTO;101;5
2023;INSTITUCION EDUCATIVA ANTONIO LENIS;02 PRIMARIA;05 QUINTO;121;6
2023;INSTITUCION EDUCATIVA ANTONIO LENIS;03 SECUNDARIA;06 SEXTO;342;17
2023;INSTITUCION EDUCATIVA ANTONIO LENIS;03 SECUNDARIA;07 SÉPTIMO;303;15
2023;INSTITUCION EDUCATIVA ANTONIO LENIS;03 SECUNDARIA;08 OCTAVO;327;16
2023;INSTITUCION EDUCATIVA ANTONIO LENIS;03 SECUNDARIA;09 NOVENO;350;18
2023;INSTITUCION EDUCATIVA ANTONIO LENIS;04 MEDIA;10 DÉCIMO;383;19
2023;INSTITUCION EDUCATIVA ANTONIO LENIS;04 MEDIA;11 ONCE;294;15
2023;INSTITUCION EDUCATIVA CONCENTRACION SIMON ARAUJO;01 PREESCOLAR;00 TRANSICIÓN;41;2
2023;INSTITUCION EDUCATIVA CONCENTRACION SIMON ARAUJO;02 PRIMARIA;01 PRIMERO;59;3
2023;INSTITUCION EDUCATIVA CONCENTRACION SIMON ARAUJO;02 PRIMARIA;02 SEGUNDO;64;3
2023;INSTITUCION EDUCATIVA CONCENTRACION SIMON ARAUJO;02 PRIMARIA;03 TERCERO;55;3
2023;INSTITUCION EDUCATIVA CONCENTRACION SIMON ARAUJO;02 PRIMARIA;04 CUARTO;84;4
2023;INSTITUCION EDUCATIVA CONCENTRACION SIMON ARAUJO;02 PRIMARIA;05 QUINTO;91;5
2023;INSTITUCION EDUCATIVA CONCENTRACION SIMON ARAUJO;03 SECUNDARIA;06 SEXTO;90;5
2023;INSTITUCION EDUCATIVA CONCENTRACION SIMON ARAUJO;03 SECUNDARIA;07 SÉPTIMO;99;5
